2020-12-26 21:15:10 INFO  root:40 - Getting all reimbursements
2020-12-26 21:15:15 INFO  root:68 - Updated info of id17of reimbursement from:bubbleboy
2020-12-26 21:15:16 INFO  root:40 - Getting all reimbursements
2020-12-26 21:15:19 INFO  root:40 - User Logged out
2020-12-26 21:15:19 INFO  root:90 - bubbleboy has logged out
2020-12-27 14:34:50 INFO  root:56 - splatinum has logged in
2020-12-27 14:34:52 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:34:59 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:04 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:06 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:35:22 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:26 INFO  root:56 - splatinum has logged in
2020-12-27 14:35:26 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:37:40 INFO  root:40 - User Logged out
2020-12-27 14:37:49 INFO  root:59 - splatinum has logged in
2020-12-27 14:37:50 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:37:54 INFO  root:59 - splatinum has logged in
2020-12-27 14:37:54 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:37:57 INFO  root:59 - splatinum has logged in
2020-12-27 14:37:59 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 14:38:05 INFO  root:40 - User Logged out
2020-12-27 14:38:05 INFO  root:96 - splatinum has logged out
2020-12-27 14:38:13 INFO  root:59 - bubbleboy has logged in
2020-12-27 14:38:15 INFO  root:40 - Getting all reimbursements
2020-12-27 14:38:22 INFO  root:59 - bubbleboy has logged in
2020-12-27 14:38:23 INFO  root:40 - Getting all reimbursements
2020-12-27 18:46:15 INFO  root:59 - splatinum has logged in
2020-12-27 18:46:16 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 18:46:30 INFO  root:40 - User Logged out
2020-12-27 18:46:30 INFO  root:96 - splatinum has logged out
2020-12-27 18:46:43 INFO  root:59 - bubbleboy has logged in
2020-12-27 18:46:43 INFO  root:40 - Getting all reimbursements
2020-12-27 18:46:47 INFO  root:59 - splatinum has logged in
2020-12-27 18:46:47 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 18:47:31 INFO  root:59 - splatinum has logged in
2020-12-27 18:47:31 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 18:48:54 INFO  root:59 - bubbleboy has logged in
2020-12-27 18:48:54 INFO  root:40 - Getting all reimbursements
2020-12-27 18:49:03 INFO  root:59 - splatinum has logged in
2020-12-27 18:49:03 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 18:49:05 INFO  root:59 - splatinum has logged in
2020-12-27 18:49:05 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 18:49:17 INFO  root:59 - bubbleboy has logged in
2020-12-27 18:49:17 INFO  root:40 - Getting all reimbursements
2020-12-27 18:49:26 INFO  root:68 - Updated info of id 23 of reimbursement from: bubbleboy
2020-12-27 18:49:27 INFO  root:40 - Getting all reimbursements
2020-12-27 18:50:51 INFO  root:40 - User Logged out
2020-12-27 18:50:51 INFO  root:96 - bubbleboy has logged out
2020-12-27 18:50:55 INFO  root:40 - User Logged out
2020-12-27 18:50:58 INFO  root:40 - User Logged out
2020-12-27 18:51:26 INFO  root:59 - splatinum has logged in
2020-12-27 18:51:27 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 18:51:27 INFO  root:40 - User Logged out
2020-12-27 18:51:27 INFO  root:96 - splatinum has logged out
2020-12-27 18:52:07 INFO  root:40 - User Logged out
2020-12-27 19:15:35 INFO  root:59 - splatinum has logged in
2020-12-27 19:15:36 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:16:12 INFO  root:59 - splatinum has logged in
2020-12-27 19:16:13 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:16:31 INFO  root:55 - Added new reimbursement from:splatinum
2020-12-27 19:16:31 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:16:53 INFO  root:40 - User Logged out
2020-12-27 19:16:53 INFO  root:96 - splatinum has logged out
2020-12-27 19:16:56 INFO  root:59 - splatinum has logged in
2020-12-27 19:16:57 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 19:22:14 INFO  root:40 - User Logged out
2020-12-27 19:22:14 INFO  root:96 - splatinum has logged out
2020-12-27 19:22:17 INFO  root:59 - splatinum has logged in
2020-12-27 19:24:02 INFO  root:59 - splatinum has logged in
2020-12-27 19:24:08 INFO  root:40 - User Logged out
2020-12-27 19:24:08 INFO  root:96 - splatinum has logged out
2020-12-27 19:24:12 INFO  root:59 - splatinum has logged in
2020-12-27 19:25:30 INFO  root:59 - splatinum has logged in
2020-12-27 19:25:32 INFO  root:40 - User Logged out
2020-12-27 19:25:32 INFO  root:96 - splatinum has logged out
